"host_identity_verified","neighbourhood_group","neighbourhood","lat","long","country","country_code","instant_bookable","cancellation_policy","room_type","Construction_year","price","service_fee","minimum_nights","number_of_reviews","last_review","reviews_per_month","review_rate_number","calculated_host_listings_count","availability_365"
"unconfirmed","Brooklyn","Prospect Heights",40.67786,-73.97029,"United States","US",FALSE,"strict","Entire home/apt",2012,1004,201,2,5,"4/26/2019",0.89,5,1,0
"unconfirmed","Queens","St. Albans",40.7008,-73.75121,"United States","US",FALSE,"strict","Private room",2003,663,133,2,3,"5/19/2019",0.4,3,2,186
"unconfirmed","Manhattan","Washington Heights",40.85229,-73.9394,"United States","US",FALSE,"strict","Private room",2019,452,90,2,0,NA,NA,2,1,365
"verified","Manhattan","West Village",40.72943,-74.00243,"United States","US",FALSE,"flexible","Entire home/apt",2004,289,58,30,1,"1/5/2019",0.16,3,232,234
"unconfirmed","Manhattan","Upper East Side",40.77196,-73.95175,"United States","US",FALSE,"moderate","Entire home/apt",2003,602,120,30,0,NA,NA,4,232,157
"unconfirmed","Brooklyn","Gowanus",40.68155,-73.98947,"United States","US",FALSE,"strict","Private room",2021,234,47,30,0,NA,NA,3,3,365
"verified","Manhattan","Financial District",40.70462,-74.00912,"United States","US",TRUE,"moderate","Entire home/apt",2009,933,187,30,0,NA,NA,4,232,338
"unconfirmed","Manhattan","Harlem",40.81857,-73.9557,"United States","US",TRUE,"flexible","Private room",2009,232,46,1,2,"2/3/2019",0.36,5,1,0
"verified","Manhattan","Midtown",40.74687,-73.98836,"United States","US",TRUE,"flexible","Entire home/apt",2008,270,54,2,8,"6/14/2019",1.48,2,13,315
"unconfirmed","Brooklyn","Bushwick",40.69936,-73.9242,"United States","US",FALSE,"strict","Entire home/apt",2003,459,92,2,36,"7/2/2019",5.24,3,1,191
"unconfirmed","Manhattan","Harlem",40.82511,-73.94961,"United States","US",TRUE,"flexible","Entire home/apt",2005,729,146,1,2,"2/23/2019",0.38,2,2,150
"verified","Queens","Ditmars Steinway",40.76992,-73.89719,"United States","US",FALSE,"strict","Entire home/apt",2022,1159,232,5,3,"5/18/2019",0.76,4,1,6
"unconfirmed","Brooklyn","Williamsburg",40.71837,-73.95882,"United States","US",FALSE,"moderate","Private room",2017,1152,230,2,9,"6/17/2019",1.16,2,2,46
"verified","Brooklyn","Sheepshead Bay",40.58403,-73.95692,"United States","US",TRUE,"moderate","Entire home/apt",2008,636,127,3,4,"6/9/2019",0.63,3,3,156
"unconfirmed","Brooklyn","Crown Heights",40.67726,-73.95573,"United States","US",TRUE,"flexible","Entire home/apt",2018,1077,215,7,0,NA,NA,4,1,0
"unconfirmed","Brooklyn","East Flatbush",40.64391,-73.94833,"United States","US",FALSE,"flexible","Entire home/apt",2010,927,185,1,6,"1/8/2019",0.8,4,1,0
"verified","Brooklyn","Sheepshead Bay",40.58496,-73.95739,"United States","US",FALSE,"strict","Entire home/apt",2007,568,114,3,4,"6/23/2019",0.62,5,3,360
"unconfirmed","Manhattan","West Village",40.73444,-74.00562,"United States","US",TRUE,"flexible","Private room",2020,577,115,2,4,"4/27/2019",0.53,2,2,0
"verified","Staten Island","Tompkinsville",40.62917,-74.08619,"United States","US",TRUE,"flexible","Entire home/apt",2008,144,29,3,15,"7/1/2019",1.92,4,1,166
"unconfirmed","Manhattan","Hell's Kitchen",40.75551,-73.99236,"United States","US",TRUE,"moderate","Entire home/apt",2015,1163,233,4,8,"6/23/2019",1.06,5,1,7
"verified","Manhattan","NoHo",40.72865,-73.99148,"United States","US",FALSE,"flexible","Entire home/apt",2012,967,193,1,0,NA,NA,3,33,179
"verified","Brooklyn","Prospect-Lefferts Gardens",40.65786,-73.95813,"United States","US",FALSE,"strict","Entire home/apt",2018,984,197,2,29,"6/29/2019",4.01,4,1,80
"unconfirmed","Manhattan","Harlem",40.82414,-73.93912,"United States","US",TRUE,"moderate","Private room",2009,134,27,4,11,"6/18/2019",1.53,4,2,161
"verified","Manhattan","East Village",40.72514,-73.98504,"United States","US",TRUE,"flexible","Entire home/apt",2019,819,164,3,7,"3/30/2019",0.9,3,1,110
"unconfirmed","Manhattan","Upper East Side",40.77064,-73.96197,"United States","US",TRUE,"flexible","Entire home/apt",2006,871,174,7,15,"6/14/2019",1.92,4,1,21
"verified","Brooklyn","Greenpoint",40.73278,-73.95368,"United States","US",TRUE,"moderate","Private room",2007,541,108,1,0,NA,NA,2,33,180
"verified","Brooklyn","Windsor Terrace",40.65696,-73.97942,"United States","US",TRUE,"moderate","Entire home/apt",2010,76,15,7,1,"6/27/2019",1,2,1,11
"verified","Manhattan","Upper East Side",40.77717,-73.95404,"United States","US",TRUE,"moderate","Entire home/apt",2010,450,90,2,28,"7/2/2019",3.85,5,1,64
"verified","Manhattan","Upper East Side",40.77487,-73.95654,"United States","US",FALSE,"moderate","Entire home/apt",2022,927,185,1,0,NA,NA,4,1,0
"verified","Manhattan","Harlem",40.80877,-73.94122,"United States","US",TRUE,"flexible","Private room",2004,768,154,2,0,NA,NA,3,2,0
"verified","Brooklyn","Williamsburg",40.70956,-73.96552,"United States","US",TRUE,"moderate","Private room",2017,998,200,2,39,"6/26/2019",5.37,5,2,78
"unconfirmed","Manhattan","Harlem",40.80945,-73.94183,"United States","US",FALSE,"moderate","Entire home/apt",2010,725,145,3,1,"1/1/2019",0.16,4,2,46
"verified","Brooklyn","East Flatbush",40.65129,-73.92696,"United States","US",TRUE,"moderate","Private room",2014,998,200,1,10,"7/2/2019",1.32,2,3,83
"unconfirmed","Brooklyn","Greenpoint",40.72051,-73.95464,"United States","US",TRUE,"flexible","Entire home/apt",2013,1163,233,3,3,"5/19/2019",0.46,5,1,11
"verified","Queens","Far Rockaway",40.59802,-73.75497,"United States","US",TRUE,"strict","Private room",2007,1062,212,1,12,"6/19/2019",1.69,3,4,361
"verified","Manhattan","Midtown",40.75959,-73.97084,"United States","US",FALSE,"moderate","Private room",2012,967,193,3,1,"12/31/2018",0.16,2,1,0
"unconfirmed","Queens","Far Rockaway",40.59836,-73.75555,"United States","US",FALSE,"moderate","Private room",2004,249,50,1,12,"4/28/2019",1.55,2,4,363
"verified","Brooklyn","Bedford-Stuyvesant",40.6871,-73.92449,"United States","US",FALSE,"strict","Entire home/apt",2013,347,69,3,20,"6/24/2019",2.58,5,1,339
"unconfirmed","Brooklyn","Williamsburg",40.70903,-73.94416,"United States","US",TRUE,"strict","Private room",2014,916,183,2,14,"6/26/2019",1.89,4,2,14
"unconfirmed","Manhattan","Harlem",40.81691,-73.94124,"United States","US",TRUE,"strict","Private room",2016,1037,207,2,17,"6/29/2019",2.44,3,1,27
"unconfirmed","Manhattan","East Harlem",40.78918,-73.94834,"United States","US",FALSE,"moderate","Entire home/apt",2022,139,28,30,1,"2/12/2019",0.2,3,2,0
"verified","Manhattan","Harlem",40.7997,-73.9534,"United States","US",FALSE,"strict","Entire home/apt",2014,1100,220,3,0,NA,NA,4,1,83
"unconfirmed","Manhattan","East Harlem",40.79052,-73.94838,"United States","US",TRUE,"strict","Entire home/apt",2005,55,11,29,1,"5/31/2019",0.77,4,2,0
"unconfirmed","Manhattan","Financial District",40.70815,-74.00513,"United States","US",TRUE,"strict","Private room",2012,339,68,2,4,"1/1/2019",0.55,4,1,177
"verified","Brooklyn","DUMBO",40.7034,-73.98544,"United States","US",TRUE,"flexible","Entire home/apt",2017,550,110,3,16,"6/26/2019",2.5,2,1,332
"verified","Manhattan","Chelsea",40.74164,-73.99656,"United States","US",TRUE,"strict","Entire home/apt",2013,1145,229,3,18,"6/21/2019",3.44,4,1,51
"verified","Queens","St. Albans",40.6968,-73.76592,"United States","US",FALSE,"flexible","Entire home/apt",2016,1187,237,1,69,"7/2/2019",10.67,4,1,158
"verified","Brooklyn","Williamsburg",40.71323,-73.96319,"United States","US",FALSE,"moderate","Entire home/apt",2014,676,135,7,1,"1/2/2019",0.16,3,1,0
"verified","Brooklyn","Sheepshead Bay",40.59021,-73.948,"United States","US",TRUE,"strict","Private room",2022,580,116,1,45,"6/15/2019",5.74,3,3,83
"unconfirmed","Manhattan","Inwood",40.8597,-73.92748,"United States","US",TRUE,"moderate","Private room",2015,595,119,2,5,"1/5/2019",0.66,3,1,0
"unconfirmed","Brooklyn","Brooklyn Heights",40.70099,-73.99532,"United States","US",TRUE,"moderate","Entire home/apt",2022,995,199,31,0,NA,NA,5,2,310
"unconfirmed","Queens","Jamaica",40.67196,-73.77821,"United States","US",FALSE,"moderate","Entire home/apt",2017,718,144,1,59,"6/26/2019",7.6,3,2,287
"unconfirmed","Brooklyn","Bedford-Stuyvesant",40.69233,-73.94366,"United States","US",FALSE,"moderate","Private room",2009,1137,227,1,1,"12/1/2018",0.14,4,1,0
"verified","Queens","Ditmars Steinway",40.77751,-73.90956,"United States","US",TRUE,"flexible","Private room",2021,514,103,2,2,"5/31/2019",0.29,4,2,278
"verified","Manhattan","Inwood",40.86159,-73.92686,"United States","US",FALSE,"moderate","Private room",2018,696,139,1,15,"6/24/2019",2.01,4,9,89
"unconfirmed","Brooklyn","Bushwick",40.70094,-73.91992,"United States","US",FALSE,"moderate","Private room",2012,627,125,1,1,"5/31/2019",0.75,2,5,148
"verified","Brooklyn","Prospect-Lefferts Gardens",40.65646,-73.95229,"United States","US",TRUE,"strict","Entire home/apt",2004,708,142,2,1,"12/26/2018",0.15,4,1,0
"unconfirmed","Queens","Flushing",40.76345,-73.828,"United States","US",TRUE,"strict","Private room",2016,1180,236,1,5,"6/18/2019",1.17,5,5,87
"verified","Queens","Ridgewood",40.70947,-73.90039,"United States","US",TRUE,"moderate","Private room",2020,915,183,2,0,NA,NA,3,1,0
"verified","Manhattan","Greenwich Village",40.72978,-73.99982,"United States","US",TRUE,"strict","Entire home/apt",2010,568,114,1,4,"5/26/2019",0.61,3,1,0
"verified","Brooklyn","Bedford-Stuyvesant",40.68137,-73.95714,"United States","US",TRUE,"flexible","Private room",2012,372,74,1,2,"12/29/2018",0.26,5,1,311
"unconfirmed","Queens","St. Albans",40.69866,-73.76759,"United States","US",FALSE,"moderate","Private room",2021,939,188,1,0,NA,NA,5,2,365
"unconfirmed","Brooklyn","Sunset Park",40.65977,-73.99087,"United States","US",TRUE,"moderate","Private room",2011,891,178,8,7,"6/12/2019",0.96,3,1,66
"verified","Brooklyn","Bedford-Stuyvesant",40.6972,-73.93613,"United States","US",TRUE,"flexible","Private room",2008,125,25,2,6,"6/14/2019",0.86,3,1,84
"verified","Queens","St. Albans",40.69869,-73.749,"United States","US",FALSE,"flexible","Entire home/apt",2008,656,131,3,4,"6/9/2019",0.63,4,3,348
"verified","Brooklyn","Bedford-Stuyvesant",40.67966,-73.90755,"United States","US",FALSE,"strict","Private room",2013,529,106,3,1,"1/1/2019",0.16,3,1,0
"unconfirmed","Brooklyn","Greenpoint",40.73561,-73.95873,"United States","US",FALSE,"moderate","Entire home/apt",2009,113,23,3,3,"4/13/2019",0.48,5,1,42
"unconfirmed","Brooklyn","Sheepshead Bay",40.59823,-73.95909,"United States","US",FALSE,"moderate","Shared room",2007,499,100,2,5,"6/12/2019",0.66,4,10,0
"verified","Manhattan","Chelsea",40.7507,-74.00261,"United States","US",FALSE,"flexible","Entire home/apt",2009,413,83,3,6,"6/30/2019",0.84,3,1,170
"unconfirmed","Queens","Flushing",40.76079,-73.83387,"United States","US",FALSE,"strict","Private room",2017,717,143,3,1,"1/6/2019",0.16,4,2,90
"unconfirmed","Queens","Flushing",40.76068,-73.82233,"United States","US",TRUE,"strict","Private room",2006,473,95,2,19,"6/24/2019",2.73,5,1,312
"verified","Manhattan","Washington Heights",40.83649,-73.94383,"United States","US",FALSE,"strict","Private room",2008,851,170,134,0,NA,NA,4,1,0
"unconfirmed","Brooklyn","Williamsburg",40.70901,-73.9676,"United States","US",FALSE,"moderate","Entire home/apt",2004,224,45,4,2,"4/20/2019",0.32,5,1,161
"verified","Manhattan","Harlem",40.82199,-73.95632,"United States","US",TRUE,"flexible","Entire home/apt",2016,129,26,5,1,"1/2/2019",0.16,3,1,0
"unconfirmed","Queens","Astoria",40.76529,-73.91137,"United States","US",TRUE,"moderate","Entire home/apt",2004,653,131,5,1,"1/1/2019",0.16,2,1,0
"verified","Queens","Ridgewood",40.70581,-73.90978,"United States","US",TRUE,"flexible","Private room",2004,488,98,2,4,"4/21/2019",0.55,2,1,0
"verified","Brooklyn","Bay Ridge",40.62951,-74.02319,"United States","US",TRUE,"strict","Entire home/apt",2020,565,113,7,0,NA,NA,4,1,126
"unconfirmed","Queens","Briarwood",40.70742,-73.81345,"United States","US",FALSE,"strict","Entire home/apt",2017,1094,219,1,11,"7/2/2019",1.42,4,1,40
"unconfirmed","Manhattan","West Village",40.73334,-74.00098,"United States","US",TRUE,"strict","Entire home/apt",2014,1046,209,4,18,"7/4/2019",4.19,2,1,24
"unconfirmed","Brooklyn","Williamsburg",40.71235,-73.95764,"United States","US",TRUE,"moderate","Private room",2004,972,194,4,0,NA,NA,3,1,0
"verified","Brooklyn","Bushwick",40.69874,-73.93589,"United States","US",TRUE,"moderate","Private room",2010,165,33,2,30,"6/25/2019",3.98,5,1,0
"unconfirmed","Brooklyn","Greenpoint",40.72745,-73.9483,"United States","US",TRUE,"moderate","Entire home/apt",2012,193,39,3,4,"2/23/2019",0.53,3,1,0
"verified","Manhattan","Harlem",40.80652,-73.94937,"United States","US",FALSE,"moderate","Private room",2012,370,74,1,33,"7/1/2019",4.25,4,1,19
"verified","Manhattan","Morningside Heights",40.80741,-73.96658,"United States","US",FALSE,"moderate","Entire home/apt",2008,745,149,13,1,"11/19/2018",0.13,3,1,0
"verified","Brooklyn","Cypress Hills",40.6765,-73.9063,"United States","US",TRUE,"flexible","Entire home/apt",2020,495,99,3,9,"5/26/2019",1.27,4,2,179
"unconfirmed","Manhattan","Upper East Side",40.77829,-73.95093,"United States","US",FALSE,"moderate","Private room",2011,292,58,5,5,"7/2/2019",0.66,3,4,272
"verified","Queens","Rego Park",40.72637,-73.86829,"United States","US",TRUE,"moderate","Private room",2020,824,165,3,1,"1/1/2019",0.16,3,1,89
"verified","Manhattan","Hell's Kitchen",40.76193,-73.99147,"United States","US",TRUE,"strict","Entire home/apt",2013,542,108,2,14,"6/23/2019",1.98,4,1,236
"verified","Brooklyn","Crown Heights",40.66988,-73.94682,"United States","US",FALSE,"flexible","Private room",2009,903,181,20,1,"11/30/2018",0.14,2,1,64
"unconfirmed","Manhattan","Harlem",40.82411,-73.95441,"United States","US",TRUE,"moderate","Private room",2006,401,80,8,31,"6/30/2019",4.04,3,6,270
"verified","Manhattan","Upper East Side",40.77954,-73.95127,"United States","US",TRUE,"strict","Private room",2014,487,97,5,5,"5/20/2019",0.79,5,4,267
"unconfirmed","Manhattan","Upper East Side",40.78006,-73.95046,"United States","US",FALSE,"moderate","Private room",2003,100,20,5,7,"6/19/2019",0.96,4,4,293
"unconfirmed","Manhattan","Hell's Kitchen",40.75659,-73.99988,"United States","US",TRUE,"flexible","Private room",2017,497,99,1,27,"6/23/2019",3.45,3,30,327
"verified","Manhattan","Hell's Kitchen",40.75753,-73.99701,"United States","US",FALSE,"flexible","Private room",2012,303,61,1,25,"6/23/2019",3.21,5,30,324
"verified","Brooklyn","Bushwick",40.69538,-73.92501,"United States","US",TRUE,"flexible","Private room",2019,328,66,20,0,NA,NA,3,1,0
"verified","Queens","Astoria",40.76589,-73.92259,"United States","US",TRUE,"flexible","Private room",2017,167,33,2,4,"4/28/2019",0.55,2,1,0
"verified","Manhattan","Upper East Side",40.76831,-73.95929,"United States","US",FALSE,"moderate","Entire home/apt",2017,362,72,5,2,"5/26/2019",0.68,5,1,71
"unconfirmed","Brooklyn","Bedford-Stuyvesant",40.67752,-73.90886,"United States","US",FALSE,"flexible","Private room",2017,955,191,30,0,NA,NA,2,2,250
"verified","Brooklyn","Sunset Park",40.65978,-73.99406,"United States","US",TRUE,"flexible","Private room",2015,202,40,3,3,"4/7/2019",0.43,4,1,0
"unconfirmed","Brooklyn","Prospect-Lefferts Gardens",40.65985,-73.94985,"United States","US",TRUE,"strict","Entire home/apt",2006,86,17,3,10,"6/21/2019",1.32,3,1,25
"verified","Brooklyn","Downtown Brooklyn",40.69115,-73.98466,"United States","US",TRUE,"strict","Entire home/apt",2018,430,86,3,1,"4/28/2019",0.41,5,1,31
"verified","Manhattan","Harlem",40.80616,-73.95007,"United States","US",FALSE,"flexible","Entire home/apt",2010,673,135,1,29,"7/3/2019",3.88,5,3,1
"verified","Brooklyn","Williamsburg",40.70685,-73.94231,"United States","US",FALSE,"flexible","Private room",2021,834,167,150,2,"1/13/2019",0.32,2,2,0
"verified","Queens","Springfield Gardens",40.66635,-73.76622,"United States","US",TRUE,"moderate","Entire home/apt",2008,436,87,1,5,"5/26/2019",0.66,5,1,154
"unconfirmed","Brooklyn","Greenpoint",40.72778,-73.94781,"United States","US",TRUE,"moderate","Private room",2017,1033,207,7,0,NA,NA,5,1,0
"unconfirmed","Manhattan","Washington Heights",40.83856,-73.94186,"United States","US",FALSE,"moderate","Private room",2020,1050,210,1,2,"12/15/2018",0.29,2,1,270
"verified","Brooklyn","Clinton Hill",40.69415,-73.96581,"United States","US",FALSE,"strict","Entire home/apt",2011,908,182,2,30,"7/6/2019",5.29,2,1,274
"verified","Staten Island","Dongan Hills",40.58415,-74.10503,"United States","US",TRUE,"strict","Entire home/apt",2021,953,191,3,14,"7/6/2019",1.81,5,1,51
"verified","Manhattan","East Village",40.72818,-73.98075,"United States","US",FALSE,"strict","Entire home/apt",2003,1158,232,3,2,"1/3/2019",0.31,2,1,0
"verified","Brooklyn","Crown Heights",40.66655,-73.95005,"United States","US",TRUE,"moderate","Private room",2014,900,180,2,7,"7/3/2019",0.99,3,2,27
"verified","Brooklyn","East Flatbush",40.64251,-73.93926,"United States","US",FALSE,"flexible","Private room",2010,450,90,2,32,"6/24/2019",4.47,4,4,358
"unconfirmed","Manhattan","Harlem",40.81756,-73.9452,"United States","US",FALSE,"flexible","Private room",2015,151,30,14,2,"4/26/2019",0.32,4,1,36
"unconfirmed","Queens","Flushing",40.76506,-73.82757,"United States","US",TRUE,"flexible","Private room",2022,813,163,1,3,"5/26/2019",0.42,5,5,85
"verified","Brooklyn","Park Slope",40.67989,-73.97922,"United States","US",FALSE,"strict","Private room",2013,739,148,2,12,"3/6/2019",1.57,2,1,89
"unconfirmed","Brooklyn","Fort Greene",40.69473,-73.97225,"United States","US",FALSE,"flexible","Entire home/apt",2007,896,179,1,1,"12/30/2018",0.16,5,2,0
"unconfirmed","Brooklyn","Williamsburg",40.71027,-73.95293,"United States","US",FALSE,"moderate","Private room",2011,347,69,1,0,NA,NA,2,3,43
"verified","Manhattan","Washington Heights",40.8444,-73.93654,"United States","US",FALSE,"moderate","Private room",2022,348,70,29,1,"11/20/2018",0.13,3,1,124
"verified","Manhattan","East Harlem",40.7947,-73.94115,"United States","US",TRUE,"moderate","Entire home/apt",2010,867,173,1,0,NA,NA,4,1,0
"verified","Brooklyn","Flatbush",40.64544,-73.95731,"United States","US",FALSE,"strict","Private room",2003,857,171,2,3,"5/19/2019",0.4,2,2,180
"unconfirmed","Manhattan","West Village",40.7363,-74.00494,"United States","US",TRUE,"flexible","Entire home/apt",2014,1156,231,30,2,"6/14/2019",0.46,4,1,100
"unconfirmed","Manhattan","Upper West Side",40.80052,-73.9706,"United States","US",TRUE,"moderate","Private room",2011,128,26,2,8,"4/27/2019",1.06,5,1,0
"verified","Brooklyn","Williamsburg",40.71465,-73.95499,"United States","US",FALSE,"flexible","Private room",2020,135,27,2,11,"5/20/2019",1.9,2,3,0
"verified","Manhattan","Upper West Side",40.80055,-73.96876,"United States","US",TRUE,"moderate","Private room",2009,797,159,2,3,"1/3/2019",0.42,4,1,0
"unconfirmed","Manhattan","Lower East Side",40.71022,-73.99163,"United States","US",FALSE,"moderate","Entire home/apt",2003,314,63,3,14,"6/10/2019",1.93,3,1,158
"unconfirmed","Manhattan","Morningside Heights",40.80218,-73.95904,"United States","US",TRUE,"flexible","Entire home/apt",2013,1073,215,1,24,"7/7/2019",3.09,5,1,1
"verified","Manhattan","Upper East Side",40.76812,-73.95093,"United States","US",TRUE,"flexible","Entire home/apt",2009,128,26,7,0,NA,NA,2,1,365
"unconfirmed","Queens","Woodside",40.74217,-73.90218,"United States","US",FALSE,"moderate","Entire home/apt",2008,279,56,2,17,"7/6/2019",2.25,2,1,348
"verified","Brooklyn","Clinton Hill",40.6819,-73.96007,"United States","US",FALSE,"flexible","Entire home/apt",2009,347,69,2,16,"6/30/2019",2.18,4,1,78
"unconfirmed","Bronx","Riverdale",40.88511,-73.90831,"United States","US",FALSE,"strict","Entire home/apt",2017,541,108,3,5,"4/8/2019",0.77,2,1,0
"verified","Manhattan","Nolita",40.72192,-73.99418,"United States","US",TRUE,"strict","Private room",2012,416,83,3,1,"11/22/2018",0.13,4,2,363
"verified","Manhattan","Midtown",40.74933,-73.98467,"United States","US",TRUE,"flexible","Entire home/apt",2016,1056,211,2,1,"12/16/2018",0.15,5,1,0
"unconfirmed","Brooklyn","Crown Heights",40.67775,-73.94913,"United States","US",FALSE,"flexible","Entire home/apt",2011,691,138,4,5,"6/10/2019",0.77,5,1,23
"verified","Manhattan","Tribeca",40.71546,-74.00856,"United States","US",TRUE,"flexible","Entire home/apt",2008,554,111,1,1,"1/1/2019",0.16,5,1,0
"verified","Queens","Flushing",40.76339,-73.82831,"United States","US",TRUE,"strict","Private room",2022,1087,217,1,7,"5/11/2019",0.95,4,5,85
"verified","Manhattan","Hell's Kitchen",40.75975,-73.9944,"United States","US",FALSE,"moderate","Private room",2017,602,120,2,0,NA,NA,2,1,0
"unconfirmed","Manhattan","SoHo",40.72355,-74.0032,"United States","US",TRUE,"flexible","Entire home/apt",2012,507,101,2,0,NA,NA,4,1,0
"verified","Manhattan","Hell's Kitchen",40.75665,-73.99838,"United States","US",TRUE,"flexible","Private room",2018,747,149,1,18,"5/5/2019",2.4,4,30,140
"verified","Brooklyn","Crown Heights",40.67698,-73.94414,"United States","US",FALSE,"strict","Private room",2018,1018,204,2,2,"3/3/2019",0.29,5,3,78
"verified","Queens","Flushing",40.76548,-73.82764,"United States","US",FALSE,"moderate","Private room",2018,1124,225,1,2,"6/9/2019",0.31,4,5,85
"verified","Queens","Woodside",40.75542,-73.90716,"United States","US",TRUE,"flexible","Entire home/apt",2021,1051,210,3,14,"6/13/2019",2.05,5,1,42
"unconfirmed","Queens","Ridgewood",40.69845,-73.90838,"United States","US",FALSE,"flexible","Private room",2005,742,148,1,14,"6/30/2019",1.89,4,1,89
"verified","Brooklyn","Bedford-Stuyvesant",40.68515,-73.94743,"United States","US",TRUE,"flexible","Entire home/apt",2010,696,139,1,1,"11/28/2018",0.13,3,1,179
"unconfirmed","Brooklyn","Crown Heights",40.6773,-73.94465,"United States","US",FALSE,"flexible","Private room",2016,562,112,2,1,"5/21/2019",0.6,2,3,84
"unconfirmed","Brooklyn","Clinton Hill",40.6887,-73.96668,"United States","US",FALSE,"moderate","Entire home/apt",2006,965,193,1,32,"7/2/2019",4.1,3,2,257
"verified","Manhattan","Hell's Kitchen",40.75884,-73.99208,"United States","US",FALSE,"strict","Entire home/apt",2010,87,17,180,0,NA,NA,5,1,358
"unconfirmed","Brooklyn","Greenpoint",40.73008,-73.96062,"United States","US",TRUE,"strict","Private room",2003,857,171,2,2,"1/5/2019",0.27,3,1,0
"verified","Brooklyn","Greenpoint",40.72918,-73.95538,"United States","US",TRUE,"strict","Entire home/apt",2010,1001,200,4,1,"12/26/2018",0.15,2,1,0
"unconfirmed","Brooklyn","Williamsburg",40.71861,-73.95448,"United States","US",FALSE,"flexible","Entire home/apt",2019,269,54,3,3,"6/24/2019",0.48,4,1,14
"verified","Manhattan","SoHo",40.72418,-73.99978,"United States","US",TRUE,"flexible","Entire home/apt",2016,51,10,5,3,"4/9/2019",0.46,5,1,63
"unconfirmed","Brooklyn","Bushwick",40.69726,-73.91587,"United States","US",FALSE,"moderate","Private room",2012,406,81,2,19,"6/7/2019",2.52,3,1,5
"unconfirmed","Brooklyn","Williamsburg",40.71318,-73.95876,"United States","US",TRUE,"moderate","Entire home/apt",2004,1140,228,2,20,"6/23/2019",2.8,5,1,263
"unconfirmed","Brooklyn","Williamsburg",40.70689,-73.94996,"United States","US",FALSE,"strict","Entire home/apt",2021,919,184,30,1,"3/2/2019",0.23,2,3,345
"verified","Brooklyn","Bushwick",40.6991,-73.92338,"United States","US",FALSE,"flexible","Private room",2022,1177,235,1,7,"12/30/2018",0.93,5,1,0
"unconfirmed","Manhattan","Lower East Side",40.71436,-73.98856,"United States","US",TRUE,"moderate","Private room",2016,1061,212,1,6,"6/19/2019",0.77,5,2,151
"verified","Manhattan","West Village",40.72975,-74.0042,"United States","US",TRUE,"flexible","Entire home/apt",2016,64,13,2,9,"6/22/2019",1.37,5,1,19
"verified","Manhattan","East Village",40.72815,-73.98455,"United States","US",FALSE,"strict","Entire home/apt",2011,318,64,1,5,"6/30/2019",0.65,3,1,191
"verified","Queens","Astoria",40.77298,-73.92461,"United States","US",TRUE,"moderate","Entire home/apt",2015,241,48,1,1,"1/1/2019",0.16,3,2,2
"unconfirmed","Manhattan","Tribeca",40.72018,-74.00451,"United States","US",TRUE,"flexible","Private room",2009,590,118,30,2,"12/12/2018",0.26,2,1,0
"unconfirmed","Manhattan","Theater District",40.75716,-73.98796,"United States","US",TRUE,"moderate","Entire home/apt",2006,417,83,4,2,"1/2/2019",0.31,5,1,0
"unconfirmed","Manhattan","Hell's Kitchen",40.75438,-73.99759,"United States","US",FALSE,"moderate","Private room",2020,744,149,2,11,"5/16/2019",1.63,4,8,73
"verified","Queens","Flushing",40.76418,-73.8293,"United States","US",TRUE,"flexible","Private room",2011,341,68,1,8,"5/31/2019",1.12,2,5,74
"verified","Manhattan","Harlem",40.80324,-73.94887,"United States","US",FALSE,"flexible","Entire home/apt",2003,510,102,2,12,"7/2/2019",3.05,5,1,7
"verified","Manhattan","Chelsea",40.74656,-74.00441,"United States","US",FALSE,"flexible","Private room",2016,140,28,1,1,"1/1/2019",0.16,5,3,0
"verified","Brooklyn","East Flatbush",40.64879,-73.95079,"United States","US",FALSE,"moderate","Entire home/apt",2022,582,116,2,44,"6/26/2019",5.92,2,1,7
"verified","Manhattan","Hell's Kitchen",40.76375,-73.99201,"United States","US",FALSE,"moderate","Entire home/apt",2010,250,50,6,0,NA,NA,3,1,87
"verified","Manhattan","Financial District",40.70845,-74.01037,"United States","US",FALSE,"moderate","Private room",2021,886,177,7,1,"1/4/2019",0.16,3,13,358
"verified","Manhattan","Financial District",40.70701,-74.0151,"United States","US",TRUE,"strict","Entire home/apt",2008,588,118,1,6,"7/2/2019",0.79,4,1,11
"verified","Brooklyn","Bedford-Stuyvesant",40.69137,-73.96,"United States","US",FALSE,"moderate","Entire home/apt",2016,802,160,2,6,"2/18/2019",0.89,4,1,67
"verified","Manhattan","Upper West Side",40.78318,-73.97372,"United States","US",TRUE,"moderate","Entire home/apt",2011,1172,234,30,1,"4/12/2019",0.34,3,5,261
"verified","Brooklyn","Brighton Beach",40.57811,-73.96004,"United States","US",TRUE,"flexible","Shared room",2020,349,70,1,0,NA,NA,3,3,365
"verified","Bronx","Allerton",40.86975,-73.84669,"United States","US",FALSE,"strict","Entire home/apt",2017,805,161,1,7,"1/20/2019",0.93,5,1,1
"unconfirmed","Brooklyn","Brownsville",40.65239,-73.91029,"United States","US",FALSE,"strict","Entire home/apt",2022,535,107,2,20,"6/29/2019",2.63,4,1,139
"verified","Brooklyn","Williamsburg",40.70762,-73.96503,"United States","US",FALSE,"moderate","Private room",2018,676,135,3,10,"7/6/2019",4.55,4,1,77
